filename,b,g,r
/home/jon/nutrient_tester_rpi/Calibration/reactant-1.jpg,1740284.0,1871208.0,1541034.0
/home/jon/nutrient_tester_rpi/Calibration/0.5mm-2.jpg,1964835.0,1522403.0,1703862.0
/home/jon/nutrient_tester_rpi/Calibration/0.05mm-3.jpg,1692152.0,1726119.0,1573060.0
/home/jon/nutrient_tester_rpi/Calibration/0.01mm-2.jpg,1542979.0,1718857.0,1540616.0
/home/jon/nutrient_tester_rpi/Calibration/0.1mm-3.jpg,1859794.0,1694199.0,1488505.0
/home/jon/nutrient_tester_rpi/Calibration/0.01mm-3.jpg,1310012.0,1667476.0,1631548.0
/home/jon/nutrient_tester_rpi/Calibration/0.1mm-2.jpg,1941913.0,1741330.0,1489496.0
/home/jon/nutrient_tester_rpi/Calibration/1mm-2.jpg,2074221.0,1476318.0,1799094.0
/home/jon/nutrient_tester_rpi/Calibration/0.05mm-2redo.jpg,1784906.0,1720465.0,1491813.0
/home/jon/nutrient_tester_rpi/Calibration/5mm-1.jpg,1880471.0,1224426.0,1659196.0
/home/jon/nutrient_tester_rpi/Calibration/reactant-2.jpg,1929203.0,1979903.0,1493327.0
/home/jon/nutrient_tester_rpi/Calibration/0.01-1.jpg,1646996.0,1806526.0,1567558.0
/home/jon/nutrient_tester_rpi/Calibration/1mm-3redo.jpg,1888686.0,1108840.0,1668845.0
/home/jon/nutrient_tester_rpi/Calibration/5mm-3.jpg,1794872.0,1129503.0,1636704.0
/home/jon/nutrient_tester_rpi/Calibration/1mm-1.jpg,2018428.0,1236195.0,1534213.0
/home/jon/nutrient_tester_rpi/Calibration/5mm-2edit.jpg,1920837.0,1265688.0,1736310.0
/home/jon/nutrient_tester_rpi/Calibration/0.05mm-1.jpg,1793250.0,1726450.0,1445350.0
/home/jon/nutrient_tester_rpi/Calibration/0.1mm-1.jpg,1952777.0,1770777.0,1472115.0
/home/jon/nutrient_tester_rpi/Calibration/0.5mm-3.jpg,2084941.0,1515547.0,1493378.0
/home/jon/nutrient_tester_rpi/Calibration/0.5mm-1.jpg,1983612.0,1439601.0,1641991.0
/home/jon/nutrient_tester_rpi/Calibration/reactant-3.jpg,1628336.0,1811682.0,1580335.0
